Descripción;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sep-22;oct-22;nov-22;dic-22;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;Total
PANTHER;;;2;6;4;3;6;5;4;6;5;4;6;4;4;5;2;1;67
DYNAMIC;3;2;6;5;2;4;3;6;2;1;7;1;2;3;5;4;5;3;64
KIDEN;;2;1;3;2;1;2;3;4;4;1;6;6;5;11;5;6;2;64
MV AGUSTA;2;2;4;3;8;3;6;4;5;4;3;2;2;4;2;4;5;1;64
HERO HONDA;1;1;4;2;4;4;6;4;1;4;7;3;5;4;5;1;5;1;62
JUKI;3;7;4;2;2;3;5;3;2;1;5;5;3;3;5;2;4;2;61
FAMSA;4;2;7;3;2;1;1;6;3;5;2;1;5;1;5;2;3;3;56
OLMO;1;4;2;3;3;;3;4;6;5;5;3;2;7;4;3;1;;56
SKYGO;2;3;1;2;2;2;4;9;3;2;3;2;4;1;7;1;5;1;54
SUMO;4;1;3;6;1;5;3;4;3;;4;2;2;2;4;2;2;4;52
BSA;4;2;4;2;3;5;1;3;6;1;3;;3;2;2;2;1;1;45
ELPRA ELECTRIC;;;1;1;2;1;;3;4;2;;4;7;4;6;6;3;1;45
VOGE;2;;3;1;3;3;4;1;3;5;3;1;1;4;4;5;1;1;45
OTROS;4;1;6;2;7;3;2;5;4;3;1;;;;1;2;2;;43
SIAM;;;;;;;1;;1;;;1;3;9;8;3;6;8;40
BLOOWER;3;3;2;1;4;2;;4;3;2;2;3;2;3;3;1;1;;39
GUZZI;;3;2;;3;1;2;4;1;1;1;4;2;1;3;3;3;2;36
RADAR;2;2;3;2;;;1;3;2;1;3;2;4;;3;1;3;2;34
VENTO;1;2;3;;2;1;1;4;;1;1;2;3;2;1;5;4;;33
NORTON;3;1;4;;3;1;2;3;3;2;2;1;1;;2;1;1;1;31
PEUGEOT;2;1;;2;2;3;;1;2;2;1;1;3;;1;6;2;2;31
AGRALE;2;;2;3;1;3;1;1;5;;2;3;1;1;2;2;1;;30
NSU;2;3;;2;5;3;;2;1;3;;1;;3;1;;4;;30
DKW;;1;3;3;2;1;1;2;6;;;1;;1;3;2;;1;27
DEMON QUADS;1;1;4;1;;1;3;1;2;2;3;1;;4;;;2;;26
X-SCREAMS;;1;2;;;1;3;2;3;2;3;;1;1;3;2;;2;26
ARCTIC CAT;3;1;1;1;1;2;1;2;1;1;1;2;2;2;1;1;1;1;25
INDIAN;;2;2;4;1;4;1;2;;;1;1;;1;1;1;1;2;24
LONCIN;1;2;;;1;2;2;3;2;2;2;1;3;;2;;1;;24
HYOSUNG;;1;2;;;1;1;1;3;1;1;1;1;3;1;2;4;;23
LAMBRETTA;;2;3;2;2;3;2;1;3;;;1;;;;3;;;22
QINGQI;2;1;2;1;1;1;1;1;;2;;1;2;3;1;2;;1;22
GAF;;2;;;3;2;1;1;;2;;2;1;;3;;1;2;20
ISO;;;;1;2;;3;1;1;1;2;;;3;3;;2;1;20
PUMITA;2;1;2;1;2;1;;1;2;1;2;;1;;1;;1;2;20
RUMI;;4;2;;2;1;2;;2;;;1;;1;1;2;2;;20
SPEED LIMIT;1;;2;;2;2;;5;;4;;;1;;2;1;;;20
LUCKY LION;;;;;1;;2;1;2;1;;1;2;1;2;1;3;2;19
VELIMOTOR;1;3;;1;;;1;3;;;1;2;;1;3;1;1;1;19
AJS;1;3;;1;2;1;1;1;2;;;;1;;2;2;;;17
ALPINO;;;;2;1;3;1;1;1;1;1;1;1;;2;1;1;;17
SANYANG;2;1;1;;3;1;1;2;;;1;1;;1;2;1;;;17
CAGIVA;2;;;2;1;;2;;;2;2;;;1;2;;;2;16
CZ STRAKONICE;;2;1;3;3;1;1;;1;1;1;1;1;;;;;;16
HERCHEE;;1;2;1;1;1;;2;3;2;1;;;1;;1;;;16
JORDAN;;1;1;2;2;;1;1;1;;1;;1;;1;4;;;16
MODENAS;1;1;1;1;;;;1;1;1;;;1;;4;1;3;;16
BOMBARDIER;2;2;;1;;1;2;;2;2;1;1;;;;1;;;15
KAYO;1;1;1;2;;;;;;1;1;1;1;;3;1;1;1;15
SIAMBRETA;;;1;;1;;;;;1;6;;3;;;;1;1;14
HULK;;1;1;1;1;;1;2;1;;2;1;2;;;;;;13
SCOUT;2;1;;1;2;;1;2;;1;;1;1;;;;1;;13
HAOJUE;1;;1;;;;;1;1;3;1;;;1;1;1;1;;12
ZADINA;2;1;1;1;;;;;1;3;;1;;;2;;;;12
KINETIC;1;1;;;2;1;1;1;1;1;;;;1;;1;;;11
SUPER SOCO;;;1;;;;1;;;1;;1;1;;2;2;2;;11
DEI;;;1;;2;;1;1;;;1;;;1;2;;1;;10
KIWI;;1;;;;;;;2;1;;1;;;3;1;1;;10
MAGIC;;;;1;;;;;;1;1;1;1;1;1;2;;1;10
NUUV;;1;1;2;1;;1;1;;;;;1;1;;;1;;10
GBK;;;;1;;2;;2;;;;;;;2;;;1;8
MATCHLESS;;;;;1;2;1;1;;;;2;;;;;1;;8
MAXUS;;1;1;;1;;1;;;1;;;2;;;1;;;8
MOTOMEL HERO;;;;;;;;;;;1;;;1;2;;1;3;8
NAN FANG;;2;;1;1;;;;;1;1;;1;;1;;;;8
PUCH;;1;;;1;;;2;;1;1;;1;;;;;1;8
SHERCO;;1;;;;1;;1;;;2;;1;2;;;;;8
CZ;;;;;;;;1;;;1;5;;;;;;;7
MADEMOTO;;;;;2;1;;1;1;;;1;;;;1;;;7
SWM;1;1;;;1;;1;;;;;;;;;1;2;;7
BLACK RIDER;;;;;1;;;;;1;;1;;1;;1;1;;6
CICLON;;;;;;;1;;1;;;;1;;;;2;1;6
DERBI;;;1;;;1;;;1;;;;;;2;1;;;6
DOUGLAS;;1;1;;1;;;;;;2;;;;1;;;;6
NOVOMOTO;;;;;;;1;;;1;1;;2;;1;;;;6
SIAM LAMBRETTA;;;1;;;;;;;;;;;1;2;1;;1;6
VELOCETTE;2;1;;;;;;1;;1;;1;;;;;;;6
ARIEL;;1;;1;;;1;;;;;;;;1;;1;;5
CAPRI;;1;;;;;1;;;;1;1;1;;;;;;5
EVER GREEN;;2;;;1;;1;;;;;;;;1;;;;5
FRAMBRETTA;;1;;1;2;1;;;;;;;;;;;;;5
GAS GAS;1;;2;;;1;;1;;;;;;;;;;;5
GOES;;1;;;1;;;;1;;;;;;2;;;;5
HUSABERG;1;1;1;1;;;;;;;;;;;;;;1;5
JIALING;;;;;2;1;;;;;;;1;;;1;;;5
MALAGUTI;1;;;;2;;;;;;;;1;;1;;;;5
MURAVEY;;;;;;;;1;1;;1;2;;;;;;;5
PETERSON;1;;;1;1;;;;;;;1;;;;;1;;5
PITBIKE;;;;1;1;;;;;;1;;;;1;;;1;5
TEHUELCHE;;2;1;;;;;;;1;;;;;;;;1;5
;;;;;;;;;;;;;1;;2;;;1;4
BACCIO;;;;;;;;1;1;;;;1;;;;;1;4
BONUS;1;;1;;;;1;;;;;1;;;;;;;4
CRONOS;1;;;;;;1;;;;1;;;;;;1;;4
KINETIC HONDA;;;;;;;;;;1;1;1;;1;;;;;4
KINROAD;;;;;;;;;;;1;;2;;;1;;;4
KIRDY;;1;;1;1;;;;;;;;1;;;;;;4
LAMBRETA;;;;;;;;;;;1;;;1;;1;1;;4
LIFAN;1;;;;;;;;;;;;;;;;3;;4
MOTOBI;;;1;;;1;;1;;;;;1;;;;;;4
PHANTOM;;;1;;;;;1;;1;;;;;1;;;;4
ROLL CAST;1;1;;1;;;;;;;;;;;;;;1;4
XQUAD;;;;;;;;;;1;;2;;;;;1;;4
ASIAWING;;;1;;;;;;1;;;;;;1;;;;3
BUELL;;;;;;;;;1;1;;;;;;1;;;3
CHIRETTE;1;;1;;;;;;1;;;;;;;;;;3
FELINA;;;;;;;;;;;;;;;1;;;2;3
GREENMOVE;;;;;;;;1;;;;;;1;1;;;;3
HAMATSU;;;;;;;;;;;1;1;;;;;;1;3
HISUN;1;;;;;;1;;;;;;;;;;1;;3
ISO MILANO;;;;;1;;;;;;;;1;;;1;;;3
IZH;;1;;1;;;;1;;;;;;;;;;;3
KOTIR;;1;1;;1;;;;;;;;;;;;;;3
LANYING;;;;;1;;;;;1;;;;;;;1;;3
LUOJIA;;;;;;;;;;1;;;;;;1;1;;3
MZ;;;;;;;;;1;;;;1;;;1;;;3
NO POSEE;;;;;;;1;;;;;1;;;1;;;;3
PIAGGIO VESPA;;;;;;;;;;;2;;;;;;1;;3
RAFTER;;;;;;;;;;;;;1;;;;2;;3
SHINERAY;;;;;1;;;;;2;;;;;;;;;3
ATALA;;;;;;;;;;;;1;;;;;1;;2
ATV FOX;;;1;;;;;1;;;;;;;;;;;2
BES;;;;;;;;;1;;;;;;;;1;;2
BIG WARRIOR;;;;;1;;;;;;;1;;;;;;;2
BSA MAHINDRA;;;;;1;;;;1;;;;;;;;;;2
BUYANG;;;;;1;;;;;;;;;;;;1;;2
CLERI;1;;;;;;;;1;;;;;;;;;;2
CRAWDET;;;;;;1;;;;;;;;;;;;1;2
CSEPEL;;;;1;;;;;;;;;;;;;;1;2
DELTAX;;;;;;;1;;;;1;;;;;;;;2
DKW BESSONE;;;;;;;;;;;1;;;;;;1;;2
GENESIS;;;;1;;;;;;;;;;;1;;;;2
GILERA PIAGGIO &CSPA;;;;;;;;;;;1;;;;;;1;;2
HERO PUCH;;;1;;;;;;;;;;1;;;;;;2
KUMOTO;;;;;;;;;;;;;1;;;1;;;2
LANCRAF;;;;;;;;;;1;;;;1;;;;;2
LML VESPA;;;;;;;;;;;;;1;;;;1;;2
MOTORUSS;;;;;;;;;;;;1;1;;;;;;2
PARILLA;;;;;;;;1;;;;;;;1;;;;2
QIANJIANG;;;1;;;;;;;;;;;;1;;;;2
RALEIGH;;;;;1;;;;;;;1;;;;;;;2
SACHS TELEVEL;;;;;;;;;;;;;2;;;;;;2
SUNBEAM;2;;;;;;;;;;;;;;;;;;2
TULA;;;;;1;;;;;;1;;;;;;;;2
URAL;;1;;;;1;;;;;;;;;;;;;2
VESPA PIAGGIO;;;1;;;;;;;1;;;;;;;;;2
VICENTINA;;;;;;1;;;;;;;;;;1;;;2
VOSHOD;;;1;;;;;;1;;;;;;;;;;2
ZONGSHEN;1;;;;;;1;;;;;;;;;;;;2
ALCYON;;;;;;;;;;;1;;;;;;;;1
AMCS;;;1;;;;;;;;;;;;;;;;1
AMERICAN IRONHORSE;;;;;;;;;;;;;;;;;1;;1
ANNAPURNA;;;;;;;;;;;;;;;;1;;;1
BACKFIRE RACING;;;;;;;;;;;1;;;;;;;;1
BAJAJ-GUERRERO;;;;;;;;;;;;;;1;;;;;1
BARBIERI;;;1;;;;;;;;;;;;;;;;1
BGH;;;;;;;1;;;;;;;;;;;;1
BIANCHI;;;;;;;;1;;;;;;;;;;;1
BONNY;;;;;;;;;;;;;;1;;;;;1
CAHUEL;;;;;1;;;;;;;;;;;;;;1
CANADIAN;;;;;;;;;1;;;;;;;;;;1
CAPRIOLO;;;1;;;;;;;;;;;;;;;;1
CF MOTO;;;;;;;;;;;;1;;;;;;;1
CHARMING;;;;;;;;1;;;;;;;;;;;1
CLOVERY;;;;;1;;;;;;;;;;;;;;1
COMB;;;;;;;;;;;;;;;;;1;;1
CPI;1;;;;;;;;;;;;;;;;;;1
CROSS;;;;;;;;;;;;;;1;;;;;1
DELTA;;;;;;;;;1;;;;;;;;;;1
DEMM;;;1;;;;;;;;;;;;;;;;1
DI BLASI;;;;;1;;;;;;;;;;;;;;1
DINLI;;;;;;;;;;;;;;;1;;;;1
DNEPR;;;;;;;;;;;;;;;;;;1;1
DOOHAN;1;;;;;;;;;;;;;;;;;;1
ENFIELD;;;;;;;;;;;1;;;;;;;;1
FABER;;;;;;;;;;;;;;;1;;;;1
FENCOR;;;;;;1;;;;;;;;;;;;;1
FERRARI;;;;;;;;;;;;;;;;1;;;1
FRANBRETTA LAVORO;;;;;;;;;;;;;;;;1;;;1
GUIZZO;;;;;;;;;;;;;;;1;;;;1
GUZZI LODOLA;;;;1;;;;;;;;;;;;;;;1
HAOJIN;;;;;;;;;;;;;;;;1;;;1
HEIKON;1;;;;;;;;;;;;;;;;;;1
HOREX;;;;;;;;;;;;;1;;;;;;1
HSUN;;;;;;;;;;;;;;;1;;;;1
HUNTER;;;;;;;;;;;;1;;;;;;;1
HYOSUNG SUZUKI;;;;;;;;;;;;;;;;1;;;1
IKA;;;;;;;;;1;;;;;;;;;;1
INNOCENTI;;;;;;;;;;;1;;;;;;;;1
IZH JUPITER 5-01;;;;;;;;1;;;;;;;;;;;1
KINGFU BRAND;;;;;;;;;;1;;;;;;;;;1
KINGTON;;;;1;;;;;;;;;;;;;;;1
L.H.;;;;;1;;;;;;;;;;;;;;1
LAMBRETTA INNOCENTI;;1;;;;;;;;;;;;;;;;;1
LOGUS;;;;;;;;;1;;;;;;;;;;1
LUCHENG;;;;;;;;;;1;;;;;;;;;1
LUJAN HERMANOS;;;;;;;;;;;;;;;;;1;;1
MACHTLESS;;;;;;;1;;;;;;;;;;;;1
MAGISTER;;;;;;;;;;;;1;;;;;;;1
MAGNAT DEBON;;;;;;1;;;;;;;;;;;;;1
MESSERSCHMITT;;;;;;;;;;;;;;1;;;;;1
MIKILON;;;1;;;;;;;;;;;;;;;;1
MI-VAL;;;;;;;;;;;;;;;;;1;;1
MODEN;;;;;;;;;;;;;;;;1;;;1
MONTESA;;1;;;;;;;;;;;;;;;;;1
MONZA;;;;;;;;;;;;;;;;1;;;1
MOTOM;;;;;;1;;;;;;;;;;;;;1
MOTOR LINE;;;;;;;;1;;;;;;;;;;;1
NO CONSTA;;;;;;;;;;;;;;1;;;;;1
ODES;;;;;;;;;;;;;;;;;;1;1
PASSING;;;;;;;;;;;;;1;;;;;;1
PGO;;;;;;;;;;;;;;;;;1;;1
PIAGGIO/VESPA;;;;;;;;;;;;;;;;;1;;1
RIEJU;;;;;;;;;;;;;;;;;;1;1
SALATINO;;;;;1;;;;;;;;;;;;;;1
SEA HORSE;;;;;;;;;;;;;;;;1;;;1
SIN ASIGNAR;;;;;;;;;;;;;;;;;;1;1
STAR;1;;;;;;;;;;;;;;;;;;1
SUNDOWN;;1;;;;;;;;;;;;;;;;;1
SV;;;;;;;;;;;;1;;;;;;;1
TERROT;;;;;;;;;;;;;;;;;;1;1
TOMOS;;;;;;;1;;;;;;;;;;;;1
TORC;;;;;;;;;;;;;;;;;1;;1
VELOSOLEX;;;;;;;;;;;1;;;;;;;;1
VICTORY;;;;;;;;;;;;;;;;;1;;1
